setup,eval_split,eval_distribution,model,threshold_policy,seeds,n_mean,threshold_source,external_tta_domain_norm,accuracy_mean,accuracy_std,accuracy_mean_std,precision_mean,precision_std,precision_mean_std,recall_mean,recall_std,recall_mean_std,f1_mean,f1_std,f1_mean_std,specificity_mean,specificity_std,specificity_mean_std,auc_mean,auc_std,auc_mean_std,sensitivity_at_90_specificity_mean,sensitivity_at_90_specificity_std,sensitivity_at_90_specificity_mean_std,sensitivity_at_95_specificity_mean,sensitivity_at_95_specificity_std,sensitivity_at_95_specificity_mean_std,brier_mean,brier_std,brier_mean_std,ece_mean,ece_std,ece_mean_std,threshold_mean,threshold_std,threshold_mean_std,auc_ci95_low,auc_ci95_high,auc_ci95,f1_ci95_low,f1_ci95_high,f1_ci95,recall_ci95_low,recall_ci95_high,recall_ci95,specificity_ci95_low,specificity_ci95_high,specificity_ci95
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_no_bio,f1,3,618.0,development_validation_only,True,0.721143473570658,0.02580555278081055,0.721 +/- 0.026,0.794870781203616,0.07024393340513131,0.795 +/- 0.070,0.6148867313915858,0.14301863944326443,0.615 +/- 0.143,0.6813595006812392,0.07575180438490133,0.681 +/- 0.076,0.8274002157497303,0.09541896175834294,0.827 +/- 0.095,0.8184211169412413,0.0014553097368129183,0.818 +/- 0.001,0.5329018338727077,0.04648643241945038,0.533 +/- 0.046,0.4023732470334412,0.004943447351624419,0.402 +/- 0.005,0.2051680024836,0.027736082180748647,0.205 +/- 0.028,0.15094585789060128,0.08396466657347425,0.151 +/- 0.084,0.37666666666666665,0.0880814017448254,0.377 +/- 0.088,0.7777293564619702,0.8186500902729696,0.778-0.819,0.6662543551344743,0.7130739877834705,0.666-0.713,0.5882128035835209,0.6462443085692225,0.588-0.646,0.8035985859124867,0.8532237688349871,0.804-0.853
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_full,f1,3,618.0,development_validation_only,True,0.6542610571736786,0.08519895113391857,0.654 +/- 0.085,0.8495362793235133,0.08720829639645993,0.850 +/- 0.087,0.3905070118662352,0.22957586045666012,0.391 +/- 0.230,0.5001424038263367,0.23418447507222243,0.500 +/- 0.234,0.9180151024811218,0.09206726340173406,0.918 +/- 0.092,0.7802599470051635,0.07967532380766883,0.780 +/- 0.080,0.47249190938511326,0.15261910838254497,0.472 +/- 0.153,0.3732470334412082,0.12676558958467649,0.373 +/- 0.127,0.2715089789454232,0.07620054478577977,0.272 +/- 0.076,0.2674148810591384,0.08802939429019725,0.267 +/- 0.088,0.3633333333333333,0.1338220211076388,0.363 +/- 0.134,0.7464066570135064,0.7899336922058064,0.746-0.790,0.4951937145962668,0.5603937249864465,0.495-0.560,0.35695294622425633,0.4193202177508269,0.357-0.419,0.900794360646233,0.9335624724133985,0.901-0.934
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_peri,f1,3,618.0,development_validation_only,True,0.6833872707659115,0.08081440321323298,0.683 +/- 0.081,0.7076424828304527,0.12772647472445053,0.708 +/- 0.128,0.6731391585760518,0.13915857605177995,0.673 +/- 0.139,0.6790264459882444,0.0782517440878824,0.679 +/- 0.078,0.6936353829557712,0.21433462560774305,0.694 +/- 0.214,0.7676291618227711,0.09127629482626523,0.768 +/- 0.091,0.447680690399137,0.16597661949330064,0.448 +/- 0.166,0.3559870550161812,0.17267730190231845,0.356 +/- 0.173,0.2074695944991023,0.023600164781324467,0.207 +/- 0.024,0.10914280962403923,0.0431403773691984,0.109 +/- 0.043,0.40333333333333327,0.012583057392117897,0.403 +/- 0.013,0.7415044040964325,0.7822681144307726,0.742-0.782,0.6585373545682524,0.7021090451240576,0.659-0.702,0.6434560112162636,0.704209629974579,0.643-0.704,0.664931008677929,0.7209294871794871,0.665-0.721
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,efficientnet_v2_s_global,f1,3,618.0,development_validation_only,True,0.6736785329018339,0.004072186858290569,0.674 +/- 0.004,0.6584075089220423,0.012539020651402456,0.658 +/- 0.013,0.7249190938511326,0.061743637632164776,0.725 +/- 0.062,0.6888452974859641,0.020172497984280266,0.689 +/- 0.020,0.622437971952535,0.05418497672006196,0.622 +/- 0.054,0.7301836665584428,0.012634190423531352,0.730 +/- 0.013,0.2955771305285868,0.030587803406165764,0.296 +/- 0.031,0.14347357065803668,0.01660712439950448,0.143 +/- 0.017,0.2175846407410991,0.0102544560337599,0.218 +/- 0.010,0.08826983965201929,0.03670970759626725,0.088 +/- 0.037,0.3899999999999999,0.03968626966596887,0.390 +/- 0.040,0.7029692955743336,0.7484051273801573,0.703-0.748,0.6682593966722794,0.7114792276846882,0.668-0.711,0.6984591688737546,0.7544773795534665,0.698-0.754,0.5913195281210911,0.6550242600679282,0.591-0.655
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_disc,f1,3,618.0,development_validation_only,True,0.6051779935275081,0.054225230032737985,0.605 +/- 0.054,0.5732951949876803,0.0444531854212179,0.573 +/- 0.044,0.8651564185544768,0.0609182649557519,0.865 +/- 0.061,0.687430214608022,0.019370826759770494,0.687 +/- 0.019,0.34519956850053934,0.16291962000328436,0.345 +/- 0.163,0.6990413450494515,0.03636771375614405,0.699 +/- 0.036,0.26105717367853293,0.01347356633958662,0.261 +/- 0.013,0.15533980582524273,0.039237396935217286,0.155 +/- 0.039,0.22254224977543438,0.009276610046857436,0.223 +/- 0.009,0.05998965760264966,0.004950468163670418,0.060 +/- 0.005,0.37666666666666665,0.04725815626252607,0.377 +/- 0.047,0.6706483705837796,0.7193212221906752,0.671-0.719,0.664196723898444,0.7071463375364382,0.664-0.707,0.8418226996470182,0.8864039420621853,0.842-0.886,0.3154055666027906,0.3755562110640116,0.315-0.376
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_global,f1,3,618.0,development_validation_only,True,0.5879180151024811,0.009342237365527943,0.588 +/- 0.009,0.6316077426060162,0.029028798909885196,0.632 +/- 0.029,0.42718446601941745,0.02765049755766192,0.427 +/- 0.028,0.508685130980853,0.01127204033197963,0.509 +/- 0.011,0.7486515641855448,0.0453459537367502,0.749 +/- 0.045,0.5887087483373655,0.022036217695710555,0.589 +/- 0.022,0.27292340884573896,0.018684474731055854,0.273 +/- 0.019,0.20711974110032363,0.011668450729656927,0.207 +/- 0.012,0.25502135566442785,0.010226180005006125,0.255 +/- 0.010,0.12227165608987324,0.04053083085324592,0.122 +/- 0.041,0.4366666666666666,0.06658328118479391,0.437 +/- 0.067,0.5611491098196864,0.613599332774542,0.561-0.614,0.48014140092507424,0.5406983965841569,0.480-0.541,0.3980879422584484,0.46143745949234816,0.398-0.461,0.7228443295991418,0.7738097359919794,0.723-0.774
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_no_bio,high_sensitivity_90,3,618.0,development_validation_only,True,0.7351672060409925,0.011365322279237018,0.735 +/- 0.011,0.784186644324123,0.07167714815023929,0.784 +/- 0.072,0.6645091693635382,0.08929537038435763,0.665 +/- 0.089,0.7133286004636581,0.02826129453527944,0.713 +/- 0.028,0.8058252427184467,0.09773248459897406,0.806 +/- 0.098,0.8184211169412413,0.0014553097368129183,0.818 +/- 0.001,0.5329018338727077,0.04648643241945038,0.533 +/- 0.046,0.4023732470334412,0.004943447351624419,0.402 +/- 0.005,0.2051680024836,0.027736082180748647,0.205 +/- 0.028,0.15094585789060128,0.08396466657347425,0.151 +/- 0.084,0.3266666666666667,0.06885734044626857,0.327 +/- 0.069,0.778273213942225,0.8173112344854415,0.778-0.817,0.6898217459048995,0.7389823141796197,0.690-0.739,0.6330738529463694,0.6933355349389695,0.633-0.693,0.7821072785903489,0.8308567626489991,0.782-0.831
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,morfnet_full,high_sensitivity_90,3,618.0,development_validation_only,True,0.6925566343042071,0.0881988354363213,0.693 +/- 0.088,0.8039200878232764,0.04650016900568722,0.804 +/- 0.047,0.517799352750809,0.2372854728779723,0.518 +/- 0.237,0.6042430574757675,0.1900600860206469,0.604 +/- 0.190,0.8673139158576052,0.07401033414905678,0.867 +/- 0.074,0.7802599470051635,0.07967532380766883,0.780 +/- 0.080,0.47249190938511326,0.15261910838254497,0.472 +/- 0.153,0.3732470334412082,0.12676558958467649,0.373 +/- 0.127,0.2715089789454232,0.07620054478577977,0.272 +/- 0.076,0.2674148810591384,0.08802939429019725,0.267 +/- 0.088,0.26133333333333336,0.0410528115155751,0.261 +/- 0.041,0.7453898057672471,0.7882236654726332,0.745-0.788,0.598743243772095,0.6550497983836076,0.599-0.655,0.48581191350469194,0.5496110195976949,0.486-0.550,0.8457294874881853,0.8880552724972768,0.846-0.888
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,convnext_tiny_peri,high_sensitivity_90,3,618.0,development_validation_only,True,0.6731391585760518,0.0989439530499058,0.673 +/- 0.099,0.646369954924742,0.10446107070469247,0.646 +/- 0.104,0.8155339805825244,0.0913057344962193,0.816 +/- 0.091,0.7162986437814022,0.07032020328879063,0.716 +/- 0.070,0.5307443365695793,0.21860835435335346,0.531 +/- 0.219,0.7676291618227711,0.09127629482626523,0.768 +/- 0.091,0.447680690399137,0.16597661949330064,0.448 +/- 0.166,0.3559870550161812,0.17267730190231845,0.356 +/- 0.173,0.2074695944991023,0.023600164781324467,0.207 +/- 0.024,0.10914280962403923,0.0431403773691984,0.109 +/- 0.043,0.3426666666666667,0.022030282189144428,0.343 +/- 0.022,0.7419916526865723,0.7812591048221141,0.742-0.781,0.6909679143097737,0.7341681970922861,0.691-0.734,0.7922131315058042,0.8387598592146552,0.792-0.839,0.5,0.5620615188024827,0.500-0.562
AIROGS_ORIGA,external_ACRIMA_balanced,balanced,efficientnet_v2_s_global,high_sensitivity_90,3,618.0,development_validation_only,True,0.6725997842502697,0.0065395661558695015,0.673 +/- 0.007,0.6520711585370008,0.0138939486213054,0.652 +/- 0.014,0.744336569579288,0.07610340463627732,0.744 +/- 0.076,0.6934098077264323,0.02552623224864426,0.693 +/- 0.026,0.6008629989212514,0.06539566155869549,0.601 +/- 0.065,0.7301836665584428,0.012634190423531352,0.730 +/- 0.013,0.2955771305285868,0.030587803406165764,0.296 +/- 0.031,0.14347357065803668,0.01660712439950448,0.143 +/- 0.017,0.2175846407410991,0.0102544560337599,0.218 +/- 0.010,0.08826983965201929,0.03670970759626725,0.088 +/- 0.037,0.38133333333333336,0.05896891836665594,0.381 +/- 0.059,0.704514920894695,0.7498488443440622,0.705-0.750,0.6723336563909494,0.7195909823703781,0.672-0.720,0.7172627874205032,0.773246858880318,0.717-0.773,0.5704553979065135,0.6311930246154055,0.570-0.631
